Ions	Strain	Values	SE	Top_annotation_name
47	Lhel	-1.223569861	0.123254467	Fumarate;_Maleic_acid;_Formylpyruvate
47	Lmel	-1.029023079	0.096184511	Fumarate;_Maleic_acid;_Formylpyruvate
47	Lapi	-1.078073105	0.10192266	Fumarate;_Maleic_acid;_Formylpyruvate
47	Lkul	-1.243263342	0.07173009	Fumarate;_Maleic_acid;_Formylpyruvate
50	Lhel	2.339697331	0.07131351	L-Aspartate_4-semialdehyde;_2-Amino-3-oxobutanoate;_L-2-Amino-3-oxobutanoic...
50	Lmel	2.514345722	0.108962655	L-Aspartate_4-semialdehyde;_2-Amino-3-oxobutanoate;_L-2-Amino-3-oxobutanoic...
50	Lapi	1.82572744	0.073419273	L-Aspartate_4-semialdehyde;_2-Amino-3-oxobutanoate;_L-2-Amino-3-oxobutanoic...
50	Lkul	3.053391597	0.109467564	L-Aspartate_4-semialdehyde;_2-Amino-3-oxobutanoate;_L-2-Amino-3-oxobutanoic...
53	Lhel	3.047912619	0.217165524	Benzofuran
53	Lmel	3.052915004	0.198091176	Benzofuran
53	Lapi	1.767191714	0.162229788	Benzofuran
53	Lkul	2.523083402	0.094572499	Benzofuran
55	Lhel	-1.743415739	0.092724895	Mercaptopyruvate
55	Lmel	-0.880604036	0.238641641	Mercaptopyruvate
55	Lapi	-1.163379172	0.262430308	Mercaptopyruvate
55	Lkul	-1.48969969	0.143534514	Mercaptopyruvate
57	Lhel	3.132590458	0.116302186	Phenylacetaldehyde;_Styrene_oxide;_4-Hydroxystyrene;_p-Tolualdehyde;_Acetop...
57	Lmel	3.305752806	0.202402871	Phenylacetaldehyde;_Styrene_oxide;_4-Hydroxystyrene;_p-Tolualdehyde;_Acetop...
57	Lapi	1.8687328	0.119220581	Phenylacetaldehyde;_Styrene_oxide;_4-Hydroxystyrene;_p-Tolualdehyde;_Acetop...
57	Lkul	2.695025227	0.123147025	Phenylacetaldehyde;_Styrene_oxide;_4-Hydroxystyrene;_p-Tolualdehyde;_Acetop...
79	Lhel	2.290094799	0.111155044	D-2-Hydroxyisocaproate;_Ethyl_(R)-3-hydroxybutanoate;_6-Hydroxyhexanoic_aci...
79	Lmel	3.799728131	0.257840364	D-2-Hydroxyisocaproate;_Ethyl_(R)-3-hydroxybutanoate;_6-Hydroxyhexanoic_aci...
79	Lapi	3.455554353	0.106412082	D-2-Hydroxyisocaproate;_Ethyl_(R)-3-hydroxybutanoate;_6-Hydroxyhexanoic_aci...
79	Lkul	3.768268116	0.166576302	D-2-Hydroxyisocaproate;_Ethyl_(R)-3-hydroxybutanoate;_6-Hydroxyhexanoic_aci...
83	Lhel	-1.663140545	0.124351162	(S)-Malate;_(R)-Malate;_Malate;_3-Dehydro-L-threonate
83	Lmel	-1.610530605	0.136298327	(S)-Malate;_(R)-Malate;_Malate;_3-Dehydro-L-threonate
83	Lapi	-1.892074643	0.099590427	(S)-Malate;_(R)-Malate;_Malate;_3-Dehydro-L-threonate
83	Lkul	-2.019015708	0.083521619	(S)-Malate;_(R)-Malate;_Malate;_3-Dehydro-L-threonate
85	Lhel	0.858222873	0.099082338	Hypoxanthine
85	Lmel	1.083272081	0.067745094	Hypoxanthine
85	Lapi	0.738231685	0.096007451	Hypoxanthine
85	Lkul	1.128208408	0.060158724	Hypoxanthine
86	Lhel	1.015798864	0.073153932	"Phenyl_acetate;_Toluate;_4-Hydroxyphenylacetaldehyde;_Benzylformate;_3,4-Di..."
86	Lmel	0.951354556	0.113744254	"Phenyl_acetate;_Toluate;_4-Hydroxyphenylacetaldehyde;_Benzylformate;_3,4-Di..."
86	Lapi	0.66228179	0.086420262	"Phenyl_acetate;_Toluate;_4-Hydroxyphenylacetaldehyde;_Benzylformate;_3,4-Di..."
86	Lkul	0.61123934	0.044046637	"Phenyl_acetate;_Toluate;_4-Hydroxyphenylacetaldehyde;_Benzylformate;_3,4-Di..."
98	Lhel	-1.47726501	0.105760108	"2,3-Dimethylmaleate;_Triacetate;_Methylitaconate;_2-Methyleneglutarate;_2-H..."
98	Lmel	-1.23427834	0.16447129	"2,3-Dimethylmaleate;_Triacetate;_Methylitaconate;_2-Methyleneglutarate;_2-H..."
98	Lapi	-1.302764865	0.129746604	"2,3-Dimethylmaleate;_Triacetate;_Methylitaconate;_2-Methyleneglutarate;_2-H..."
98	Lkul	-1.406810749	0.070303877	"2,3-Dimethylmaleate;_Triacetate;_Methylitaconate;_2-Methyleneglutarate;_2-H..."
108	Lhel	-0.682629729	0.086104867	L-Glutamine;_Glutamine;_D-Glutamine;_3-Ureidoisobutyrate;_Isoglutamine
108	Lmel	-1.386214716	0.063221785	L-Glutamine;_Glutamine;_D-Glutamine;_3-Ureidoisobutyrate;_Isoglutamine
108	Lapi	-0.39783759	0.09815777	L-Glutamine;_Glutamine;_D-Glutamine;_3-Ureidoisobutyrate;_Isoglutamine
108	Lkul	-0.499910235	0.096745048	L-Glutamine;_Glutamine;_D-Glutamine;_3-Ureidoisobutyrate;_Isoglutamine
112	Lhel	0.985522968	0.073116969	"D-Arabinono-1,4-lactone;_2-Dehydro-3-deoxy-L-arabinonate;_Citramalate;_(R)-..."
112	Lmel	1.415087952	0.139390987	"D-Arabinono-1,4-lactone;_2-Dehydro-3-deoxy-L-arabinonate;_Citramalate;_(R)-..."
112	Lapi	1.163349758	0.083487592	"D-Arabinono-1,4-lactone;_2-Dehydro-3-deoxy-L-arabinonate;_Citramalate;_(R)-..."
112	Lkul	0.648226746	0.085441806	"D-Arabinono-1,4-lactone;_2-Dehydro-3-deoxy-L-arabinonate;_Citramalate;_(R)-..."
113	Lhel	1.406617539	0.051002112	trans-Cinnamate;_Dihydrocoumarin;_4-Hydroxycinnamyl_aldehyde;_3-Hydroxy-1-i...
113	Lmel	1.61707463	0.113766644	trans-Cinnamate;_Dihydrocoumarin;_4-Hydroxycinnamyl_aldehyde;_3-Hydroxy-1-i...
113	Lapi	0.640923715	0.073975203	trans-Cinnamate;_Dihydrocoumarin;_4-Hydroxycinnamyl_aldehyde;_3-Hydroxy-1-i...
113	Lkul	1.207359063	0.075197612	trans-Cinnamate;_Dihydrocoumarin;_4-Hydroxycinnamyl_aldehyde;_3-Hydroxy-1-i...
122	Lhel	2.194176634	0.076661106	Guanine
122	Lmel	1.993731834	0.052163939	Guanine
122	Lapi	2.134134109	0.089063525	Guanine
122	Lkul	1.868865051	0.07559789	Guanine
123	Lhel	0.485315539	0.085383941	Xanthine;_Alloxanthine
123	Lmel	0.367668256	0.073895303	Xanthine;_Alloxanthine
123	Lapi	1.161021703	0.068163191	Xanthine;_Alloxanthine
123	Lkul	0.525583071	0.070796185	Xanthine;_Alloxanthine
130	Lhel	1.463511832	0.071304147	"Propanoyl_phosphate;_Hydroxyacetone_phosphate;_Glycerol_1,2-cyclic_phosphate"
130	Lmel	2.202114647	0.064727904	"Propanoyl_phosphate;_Hydroxyacetone_phosphate;_Glycerol_1,2-cyclic_phosphate"
130	Lapi	2.162257374	0.11352299	"Propanoyl_phosphate;_Hydroxyacetone_phosphate;_Glycerol_1,2-cyclic_phosphate"
130	Lkul	1.657783941	0.093424837	"Propanoyl_phosphate;_Hydroxyacetone_phosphate;_Glycerol_1,2-cyclic_phosphate"
162	Lhel	5.449159235	0.580005431	3-(2-Hydroxyphenyl)propanoate;_Tropate;_Phloretate;_Veratraldehyde;_3-Ethox...
162	Lmel	5.227258805	0.319660394	3-(2-Hydroxyphenyl)propanoate;_Tropate;_Phloretate;_Veratraldehyde;_3-Ethox...
162	Lapi	4.49032581	0.215957672	3-(2-Hydroxyphenyl)propanoate;_Tropate;_Phloretate;_Veratraldehyde;_3-Ethox...
162	Lkul	4.877974634	0.593679792	3-(2-Hydroxyphenyl)propanoate;_Tropate;_Phloretate;_Veratraldehyde;_3-Ethox...
175	Lhel	0.526233942	0.070133653	Gallate
175	Lmel	1.043755367	0.078886241	Gallate
175	Lapi	0.964143519	0.13051802	Gallate
175	Lkul	0.631932609	0.125837653	Gallate
183	Lhel	-1.04536916	0.129036844	9-Oxononanoic_acid
183	Lmel	-0.931354469	0.226682113	9-Oxononanoic_acid
183	Lapi	-0.97481798	0.106760894	9-Oxononanoic_acid
183	Lkul	-1.285607051	0.152072218	9-Oxononanoic_acid
186	Lhel	1.639682437	0.052548901	N-Acetyl-L-leucine;_Swainsonine
186	Lmel	1.489793006	0.073098502	N-Acetyl-L-leucine;_Swainsonine
186	Lapi	1.374079834	0.069362143	N-Acetyl-L-leucine;_Swainsonine
186	Lkul	2.477152079	0.089852471	N-Acetyl-L-leucine;_Swainsonine
188	Lhel	0.860884785	0.126374361	cis-Aconitate;_trans-Aconitate;_Dehydroascorbate
188	Lmel	1.110298533	0.077904814	cis-Aconitate;_trans-Aconitate;_Dehydroascorbate
188	Lapi	1.442913036	0.122436632	cis-Aconitate;_trans-Aconitate;_Dehydroascorbate
188	Lkul	0.874711597	0.15386777	cis-Aconitate;_trans-Aconitate;_Dehydroascorbate
193	Lhel	2.120203078	0.182969204	Ascorbate;_D-Glucuronolactone;_2-Hydroxy-3-oxoadipate;_L-xylo-Hexulonolacto...
193	Lmel	1.796619368	1.10265986	Ascorbate;_D-Glucuronolactone;_2-Hydroxy-3-oxoadipate;_L-xylo-Hexulonolacto...
193	Lapi	1.00996375	0.946264234	Ascorbate;_D-Glucuronolactone;_2-Hydroxy-3-oxoadipate;_L-xylo-Hexulonolacto...
193	Lkul	1.951097442	0.574948688	Ascorbate;_D-Glucuronolactone;_2-Hydroxy-3-oxoadipate;_L-xylo-Hexulonolacto...
207	Lhel	4.641301563	0.300909401	"3-(4-Hydroxyphenyl)lactate;_(R)-3-(4-Hydroxyphenyl)lactate;_3-(2,3-Dihydrox..."
207	Lmel	4.182391072	0.203365514	"3-(4-Hydroxyphenyl)lactate;_(R)-3-(4-Hydroxyphenyl)lactate;_3-(2,3-Dihydrox..."
207	Lapi	3.472136644	0.112538503	"3-(4-Hydroxyphenyl)lactate;_(R)-3-(4-Hydroxyphenyl)lactate;_3-(2,3-Dihydrox..."
207	Lkul	3.755370158	0.295520548	"3-(4-Hydroxyphenyl)lactate;_(R)-3-(4-Hydroxyphenyl)lactate;_3-(2,3-Dihydrox..."
208	Lhel	-1.106378118	0.04929747	Mannitol;_D-Sorbitol;_D-Iditol;_L-Iditol;_Galactitol;_L-Glucitol
208	Lmel	-0.179867743	0.08714855	Mannitol;_D-Sorbitol;_D-Iditol;_L-Iditol;_Galactitol;_L-Glucitol
208	Lapi	-0.202635325	0.089048548	Mannitol;_D-Sorbitol;_D-Iditol;_L-Iditol;_Galactitol;_L-Glucitol
208	Lkul	-0.256968632	0.094695061	Mannitol;_D-Sorbitol;_D-Iditol;_L-Iditol;_Galactitol;_L-Glucitol
210	Lhel	-1.029480393	0.095499024	"2-Pyrone-4,6-dicarboxylate;_Chelidonic_acid"
210	Lmel	-0.53092905	0.184873298	"2-Pyrone-4,6-dicarboxylate;_Chelidonic_acid"
210	Lapi	-0.622863862	0.227920456	"2-Pyrone-4,6-dicarboxylate;_Chelidonic_acid"
210	Lkul	-0.853969241	0.114715779	"2-Pyrone-4,6-dicarboxylate;_Chelidonic_acid"
213	Lhel	1.09556281	0.128476282	Fuberidazole
213	Lmel	1.161520888	0.163799242	Fuberidazole
213	Lapi	0.470701599	0.163254504	Fuberidazole
213	Lkul	0.698449143	0.155632589	Fuberidazole
224	Lhel	1.268618482	1.871915739	Azelaic_acid;_Eucommiol
224	Lmel	1.498085604	1.577891724	Azelaic_acid;_Eucommiol
224	Lapi	1.580429822	1.91969051	Azelaic_acid;_Eucommiol
224	Lkul	2.076104837	1.727057156	Azelaic_acid;_Eucommiol
228	Lhel	0.449087999	0.052843686	N-Acetyl-L-glutamate;_L-2-Amino-6-oxoheptanedioate;_AminoDHQ
228	Lmel	0.750035386	0.084979337	N-Acetyl-L-glutamate;_L-2-Amino-6-oxoheptanedioate;_AminoDHQ
228	Lapi	0.567213212	0.053681694	N-Acetyl-L-glutamate;_L-2-Amino-6-oxoheptanedioate;_AminoDHQ
228	Lkul	1.116202362	0.093841091	N-Acetyl-L-glutamate;_L-2-Amino-6-oxoheptanedioate;_AminoDHQ
240	Lhel	-3.148504227	0.107581908	"Citrate;_Isocitrate;_(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate;_5-Dehyd..."
240	Lmel	-2.051251418	1.039346513	"Citrate;_Isocitrate;_(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate;_5-Dehyd..."
240	Lapi	0.236075135	0.099348762	"Citrate;_Isocitrate;_(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate;_5-Dehyd..."
240	Lkul	-3.037762303	0.086687151	"Citrate;_Isocitrate;_(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate;_5-Dehyd..."
252	Lhel	-2.981558098	0.093595624	Slaframine
252	Lmel	-2.871717807	0.187526641	Slaframine
252	Lapi	-2.781930576	0.168986049	Slaframine
252	Lkul	-2.822860581	0.136734528	Slaframine
255	Lhel	-1.246468	0.067116837	Dihydroclavaminic_acid;_Alanylclavam
255	Lmel	-1.099092247	0.085429336	Dihydroclavaminic_acid;_Alanylclavam
255	Lapi	-1.174468809	0.063880984	Dihydroclavaminic_acid;_Alanylclavam
255	Lkul	-1.182862838	0.064647487	Dihydroclavaminic_acid;_Alanylclavam
259	Lhel	1.028046719	0.11180248	Proclavaminic_acid;_Coprine
259	Lmel	1.061527971	0.090084014	Proclavaminic_acid;_Coprine
259	Lapi	0.956918585	0.069948992	Proclavaminic_acid;_Coprine
259	Lkul	0.967320762	0.106389083	Proclavaminic_acid;_Coprine
260	Lhel	1.35407212	0.11655808	Sebacic_acid;_Diethyl_adipate;_Dimethyl_suberate
260	Lmel	0.9874706	0.237761575	Sebacic_acid;_Diethyl_adipate;_Dimethyl_suberate
260	Lapi	1.221993417	0.167373131	Sebacic_acid;_Diethyl_adipate;_Dimethyl_suberate
260	Lkul	0.729512006	0.529051357	Sebacic_acid;_Diethyl_adipate;_Dimethyl_suberate
264	Lhel	3.576466768	0.388040629	Indolelactate;_5-Methoxyindoleacetate;_Gentianamine;_Swietenidin_B
264	Lmel	3.201278681	0.239661335	Indolelactate;_5-Methoxyindoleacetate;_Gentianamine;_Swietenidin_B
264	Lapi	3.440364333	0.244898913	Indolelactate;_5-Methoxyindoleacetate;_Gentianamine;_Swietenidin_B
264	Lkul	2.311206289	0.32052963	Indolelactate;_5-Methoxyindoleacetate;_Gentianamine;_Swietenidin_B
265	Lhel	-2.172954258	1.274301782	Pantothenol
265	Lmel	-1.343277888	1.086935658	Pantothenol
265	Lapi	-2.525660392	0.395025269	Pantothenol
265	Lkul	-1.477718628	1.276527103	Pantothenol
285	Lhel	1.43437776	0.134160932	2-Deoxy-D-ribose_1-phosphate;_2-Deoxy-D-ribose_5-phosphate;_1-Deoxy-D-xylul...
285	Lmel	1.597828028	0.274705322	2-Deoxy-D-ribose_1-phosphate;_2-Deoxy-D-ribose_5-phosphate;_1-Deoxy-D-xylul...
285	Lapi	1.67154331	0.14497808	2-Deoxy-D-ribose_1-phosphate;_2-Deoxy-D-ribose_5-phosphate;_1-Deoxy-D-xylul...
285	Lkul	1.253569891	0.273661201	2-Deoxy-D-ribose_1-phosphate;_2-Deoxy-D-ribose_5-phosphate;_1-Deoxy-D-xylul...
291	Lhel	-3.23865582	0.076184555	2-C-Methyl-D-erythritol_4-phosphate
291	Lmel	-2.016034448	0.227900006	2-C-Methyl-D-erythritol_4-phosphate
291	Lapi	-2.153458284	0.299314278	2-C-Methyl-D-erythritol_4-phosphate
291	Lkul	-2.769351179	0.11151898	2-C-Methyl-D-erythritol_4-phosphate
293	Lhel	-0.131788736	0.050173831	N-Acetyl-L-citrulline
293	Lmel	-1.106086845	0.13891158	N-Acetyl-L-citrulline
293	Lapi	-0.07927	0.040009771	N-Acetyl-L-citrulline
293	Lkul	-0.061712763	0.074376175	N-Acetyl-L-citrulline
294	Lhel	-0.949190258	0.09855944	beta-Alanyl-L-lysine;_gamma-L-Glutamylputrescine
294	Lmel	-2.779464172	0.101454984	beta-Alanyl-L-lysine;_gamma-L-Glutamylputrescine
294	Lapi	-0.551788773	0.106237661	beta-Alanyl-L-lysine;_gamma-L-Glutamylputrescine
294	Lkul	-0.811327789	0.118704282	beta-Alanyl-L-lysine;_gamma-L-Glutamylputrescine
297	Lhel	-1.839581283	0.079515531	4-Amino-2-methyl-5-phosphomethylpyrimidine
297	Lmel	-1.292783059	0.118689068	4-Amino-2-methyl-5-phosphomethylpyrimidine
297	Lapi	-1.382968446	0.16916906	4-Amino-2-methyl-5-phosphomethylpyrimidine
297	Lkul	-1.646476829	0.124646646	4-Amino-2-methyl-5-phosphomethylpyrimidine
307	Lhel	-0.590709212	0.080743122	N5-Phenyl-L-glutamine
307	Lmel	-1.688210538	0.104085697	N5-Phenyl-L-glutamine
307	Lapi	-0.500458145	0.069480635	N5-Phenyl-L-glutamine
307	Lkul	-0.358862878	0.077943221	N5-Phenyl-L-glutamine
320	Lhel	-1.562346778	0.21268937	Myristoleic_acid
320	Lmel	-1.607485139	0.236431672	Myristoleic_acid
320	Lapi	-1.403794385	0.15231453	Myristoleic_acid
320	Lkul	-1.17688496	0.356661158	Myristoleic_acid
324	Lhel	-1.565350003	0.052352798	(S)-ATPA
324	Lmel	-1.408045305	0.076379299	(S)-ATPA
324	Lapi	-1.41414128	0.071333112	(S)-ATPA
324	Lkul	-1.402571392	0.065244668	(S)-ATPA
333	Lhel	-0.570817134	0.117759496	Carbetamide;_Hexobarbitone
333	Lmel	-1.862109414	0.084484745	Carbetamide;_Hexobarbitone
333	Lapi	-0.611467676	0.098267723	Carbetamide;_Hexobarbitone
333	Lkul	-0.382349695	0.09856487	Carbetamide;_Hexobarbitone
337	Lhel	-0.505778507	0.079828568	Felbamate
337	Lmel	-1.507000521	0.070362749	Felbamate
337	Lapi	-0.395824552	0.093459	Felbamate
337	Lkul	-0.368453371	0.072542416	Felbamate
343	Lhel	1.42419966	0.064077668	L-Fuculose_1-phosphate;_L-Rhamnulose_1-phosphate;_L-Fucose_1-phosphate;_2-D...
343	Lmel	1.068871913	0.169524565	L-Fuculose_1-phosphate;_L-Rhamnulose_1-phosphate;_L-Fucose_1-phosphate;_2-D...
343	Lapi	1.253153057	0.076312544	L-Fuculose_1-phosphate;_L-Rhamnulose_1-phosphate;_L-Fucose_1-phosphate;_2-D...
343	Lkul	1.429331514	0.138954987	L-Fuculose_1-phosphate;_L-Rhamnulose_1-phosphate;_L-Fucose_1-phosphate;_2-D...
344	Lhel	-1.578578325	0.057586282	Uridine;_Pseudouridine;_Spongouridine
344	Lmel	-1.09099717	0.560299185	Uridine;_Pseudouridine;_Spongouridine
344	Lapi	-1.133664853	0.054589096	Uridine;_Pseudouridine;_Spongouridine
344	Lkul	-1.478205324	0.068330449	Uridine;_Pseudouridine;_Spongouridine
345	Lhel	0.900433402	0.083588699	"Osthol;_Encelin;_Batatasin_IV;_5-Hydroxybisphenol_A;_1,2-Bis(4-hydroxypheny..."
345	Lmel	1.041456857	0.093761494	"Osthol;_Encelin;_Batatasin_IV;_5-Hydroxybisphenol_A;_1,2-Bis(4-hydroxypheny..."
345	Lapi	1.024793603	0.08802362	"Osthol;_Encelin;_Batatasin_IV;_5-Hydroxybisphenol_A;_1,2-Bis(4-hydroxypheny..."
345	Lkul	1.13443673	0.099336538	"Osthol;_Encelin;_Batatasin_IV;_5-Hydroxybisphenol_A;_1,2-Bis(4-hydroxypheny..."
348	Lhel	-1.938003217	0.073859806	Thiometon
348	Lmel	-1.68574632	0.235468137	Thiometon
348	Lapi	-1.679548416	0.131019092	Thiometon
348	Lkul	-1.826689905	0.215535322	Thiometon
366	Lhel	-1.025051208	0.158473939	L-Pyrrolysine
366	Lmel	-1.218549008	0.115511287	L-Pyrrolysine
366	Lapi	-1.192509582	0.153086779	L-Pyrrolysine
366	Lkul	-0.864537909	0.174355396	L-Pyrrolysine
371	Lhel	0.99932211	0.066595659	Linatine
371	Lmel	1.249743373	0.133324149	Linatine
371	Lapi	0.841479473	0.065782814	Linatine
371	Lkul	0.875201977	0.060512438	Linatine
372	Lhel	2.009302008	0.086206108	Oxolinic_acid
372	Lmel	1.776473281	0.240138855	Oxolinic_acid
372	Lapi	2.078519145	0.073608015	Oxolinic_acid
372	Lkul	1.709264659	0.249433964	Oxolinic_acid
379	Lhel	-2.020134005	0.107403196	Inosine
379	Lmel	-2.275497125	0.113994823	Inosine
379	Lapi	-2.016910247	0.150019453	Inosine
379	Lkul	-2.109657469	0.079170183	Inosine
381	Lhel	-0.31483666	0.05972224	Histidylleucine
381	Lmel	-1.337676446	0.100789274	Histidylleucine
381	Lapi	-0.167040672	0.097615165	Histidylleucine
381	Lkul	-0.185859382	0.068291924	Histidylleucine
392	Lhel	1.715570159	0.13225759	6-Phospho-D-glucosaminate
392	Lmel	1.68896868	0.084784771	6-Phospho-D-glucosaminate
392	Lapi	1.688339881	0.142619152	6-Phospho-D-glucosaminate
392	Lkul	2.022301682	0.090209413	6-Phospho-D-glucosaminate
395	Lhel	0.9078402	0.177369547	Pyrimidine_5'-deoxynucleotide
395	Lmel	1.030850858	0.191850018	Pyrimidine_5'-deoxynucleotide
395	Lapi	1.015540447	0.172827643	Pyrimidine_5'-deoxynucleotide
395	Lkul	1.096639876	0.136192609	Pyrimidine_5'-deoxynucleotide
398	Lhel	0.497168109	0.072147042	alpha-Ribazole;_Oxadixyl
398	Lmel	1.071288807	0.088524287	alpha-Ribazole;_Oxadixyl
398	Lapi	1.001635617	0.089997632	alpha-Ribazole;_Oxadixyl
398	Lkul	0.871151191	0.084996689	alpha-Ribazole;_Oxadixyl
400	Lhel	-0.810794491	0.206269408	"(6Z,9Z,12Z)-Octadecatrienoic_acid;_(9Z,12Z,15Z)-Octadecatrienoic_acid;_Crep..."
400	Lmel	-1.028044321	0.203803812	"(6Z,9Z,12Z)-Octadecatrienoic_acid;_(9Z,12Z,15Z)-Octadecatrienoic_acid;_Crep..."
400	Lapi	-0.913584017	0.247843734	"(6Z,9Z,12Z)-Octadecatrienoic_acid;_(9Z,12Z,15Z)-Octadecatrienoic_acid;_Crep..."
400	Lkul	-0.596095178	0.355772455	"(6Z,9Z,12Z)-Octadecatrienoic_acid;_(9Z,12Z,15Z)-Octadecatrienoic_acid;_Crep..."
408	Lhel	-3.997410231	0.137654257	Guanosine;_Isoguanosine
408	Lmel	-4.33766138	0.13329818	Guanosine;_Isoguanosine
408	Lapi	-3.773891502	0.166734075	Guanosine;_Isoguanosine
408	Lkul	-3.780479607	0.122336578	Guanosine;_Isoguanosine
409	Lhel	-1.044558067	0.069647365	Xanthosine
409	Lmel	-0.963948657	0.095762282	Xanthosine
